RowNo	Month	RBD	threshold_RQ	threshold_SumRQ	threshold_SumSumRQ	P(#SumSumRQ_level=0)	P(#SumSumRQ_level=1)	P(#SumSumRQ_level=2)	P(#SumSumRQ_level=3)	P(#SumSumRQ_level=4)	P(#SumSumRQ_exceeds=0)	P(#SumSumRQ_exceeds=1)	P(#Any_SumRQ_exceeds=0)	P(#Any_SumRQ_exceeds=1)	P(#Any_RQ_exceeds=0)	P(#Any_RQ_exceeds=1)	P(#Group_fungi_1.SumRQ_level=0)	P(#Group_fungi_1.SumRQ_level=1)	P(#Group_fungi_1.SumRQ_level=2)	P(#Group_fungi_1.SumRQ_level=3)	P(#Group_fungi_1.SumRQ_level=4)	P(#Group_herbi_1.SumRQ_level=0)	P(#Group_herbi_1.SumRQ_level=1)	P(#Group_herbi_1.SumRQ_level=2)	P(#Group_herbi_1.SumRQ_level=3)	P(#Group_herbi_1.SumRQ_level=4)	P(#Group_insec_1.SumRQ_level=0)	P(#Group_insec_1.SumRQ_level=1)	P(#Group_insec_1.SumRQ_level=2)	P(#Group_insec_1.SumRQ_level=3)	P(#Group_insec_1.SumRQ_level=4)	P(#Group_fungi_1.SumRQ_exceeds=0)	P(#Group_fungi_1.SumRQ_exceeds=1)	P(#Group_fungi_1.Any_RQ_exceeds=0)	P(#Group_fungi_1.Any_RQ_exceeds=1)	P(#Group_herbi_1.SumRQ_exceeds=0)	P(#Group_herbi_1.SumRQ_exceeds=1)	P(#Group_herbi_1.Any_RQ_exceeds=0)	P(#Group_herbi_1.Any_RQ_exceeds=1)	P(#Group_insec_1.SumRQ_exceeds=0)	P(#Group_insec_1.SumRQ_exceeds=1)	P(#Group_insec_1.Any_RQ_exceeds=0)	P(#Group_insec_1.Any_RQ_exceeds=1)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=0)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=1)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=2)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=3)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=4)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=0)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=1)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=2)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=3)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=4)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=0)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=1)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=2)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=3)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=4)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=0)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=1)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=2)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=3)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=4)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=0)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=1)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=2)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=3)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=4)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=0)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=1)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=2)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=3)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=4)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=0)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=1)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=2)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=3)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=4)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=0)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=1)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=2)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=3)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=4)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=0)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=1)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=2)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=3)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=4)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=0)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=1)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=2)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=3)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=4)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=0)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=1)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=2)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=3)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=4)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=0)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=1)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=2)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=3)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=4)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=0)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=1)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=2)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=3)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=4)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=0)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=1)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=2)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=3)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=4)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=0)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=1)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=2)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=3)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=4)	P(#Group_fungi_1.Subst_chloro_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_chloro_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_pyracl_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_pyracl_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_tebuco_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_tebuco_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_thioph_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_thioph_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_triflo_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_triflo_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_pendim_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_pendim_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_glypho_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_glypho_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_diuron_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_diuron_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dimete_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dimete_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dichlo_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dichlo_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dicamb_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dicamb_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_24dich_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_24dich_1.RQ_exceeds=1)	P(#Group_insec_1.Subst_dimeto_1.RQ_exceeds=0)	P(#Group_insec_1.Subst_dimeto_1.RQ_exceeds=1)	P(#Group_insec_1.Subst_chlorp_1.RQ_exceeds=0)	P(#Group_insec_1.Subst_chlorp_1.RQ_exceeds=1)
1	1	BEESCAUT_RW	0.01	0.01	0.01	0.09	0.39	0.2	0.13	0.18	0.09	0.91	0.23	0.77	0.31	0.69	0.4	0.31	0.1	0.07	0.13	0.73	0.14	0.08	0.04	8.55E-3	0.76	0.06	0.08	0.04	0.05	0.4	0.6	0.51	0.49	0.73	0.27	0.79	0.21	0.76	0.24	0.77	0.23	0.64	0.16	0.03	0.05	0.12	0.86	0.08	0.05	7.93E-3	6.76E-3	0.95	0.03	0.01	3.28E-3	0	0.98	0.02	4.46E-3	0	0	1	0	0	0	0	0.82	0.05	0.07	0.04	8.55E-3	1	1.03E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.99	0.01	6.81E-4	0	0	1	0	0	0	0	0.99	6.02E-3	1.66E-4	0	0	0.98	0.02	4.23E-4	0	0	1	1.68E-3	1.12E-4	0	0	0.77	0.06	0.08	0.04	0.05	0.64	0.36	0.86	0.14	0.95	0.05	0.98	0.02	1	0	0.82	0.18	1	1.03E-3	1	0	1	0	0.99	0.01	1	0	0.99	6.18E-3	0.98	0.02	1	1.8E-3	0.77	0.23
2	2	BEESCAUT_RW	0.01	0.01	0.01	0.02	0.17	0.23	0.23	0.36	0.02	0.98	0.06	0.94	0.09	0.91	0.2	0.26	0.17	0.13	0.24	0.51	0.24	0.14	0.08	0.02	0.55	0.09	0.15	0.11	0.11	0.2	0.8	0.28	0.72	0.51	0.49	0.59	0.41	0.55	0.45	0.55	0.45	0.45	0.14	0.08	0.11	0.23	0.74	0.13	0.09	0.02	0.02	0.89	0.07	0.03	0.01	0	0.95	0.04	0.02	0	0	1	0	0	0	0	0.66	0.1	0.13	0.08	0.02	0.99	6.13E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.96	0.03	4.84E-3	0	0	1	0	0	0	0	0.98	0.02	1.58E-3	0	0	0.95	0.04	4.93E-3	0	0	0.98	0.02	1.36E-3	0	0	0.56	0.07	0.15	0.11	0.11	0.45	0.55	0.74	0.26	0.89	0.11	0.95	0.05	1	0	0.66	0.34	0.99	6.13E-3	1	0	1	0	0.96	0.04	1	0	0.98	0.02	0.95	0.05	0.98	0.02	0.56	0.44
3	3	BEESCAUT_RW	0.01	0.01	0.01	0.06	0.31	0.21	0.17	0.25	0.06	0.94	0.15	0.85	0.22	0.78	0.33	0.29	0.12	0.08	0.17	0.65	0.17	0.1	0.06	0.01	0.71	0.04	0.09	0.07	0.08	0.33	0.67	0.43	0.57	0.65	0.35	0.72	0.28	0.71	0.29	0.71	0.29	0.59	0.15	0.04	0.07	0.16	0.82	0.09	0.06	0.01	0.01	0.92	0.05	0.02	6.15E-3	0	0.96	0.03	8.49E-3	0	0	1	0	0	0	0	0.77	0.06	0.09	0.06	0.01	1	2.6E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.97	0.02	2.25E-3	0	0	1	0	0	0	0	0.99	0.01	6.18E-4	0	0	0.97	0.03	2.01E-3	0	0	0.98	0.01	2.07E-3	0	0	0.72	0.03	0.09	0.07	0.08	0.59	0.41	0.82	0.18	0.92	0.08	0.96	0.04	1	0	0.77	0.23	1	2.6E-3	1	0	1	0	0.97	0.03	1	0	0.99	0.01	0.97	0.03	0.98	0.02	0.72	0.28
4	4	BEESCAUT_RW	0.01	0.01	0.01	0.08	0.34	0.19	0.17	0.23	0.08	0.92	0.19	0.81	0.27	0.73	0.37	0.31	0.11	0.07	0.16	0.68	0.16	0.09	0.06	0.01	0.77	0.02	0.06	0.08	0.07	0.37	0.63	0.47	0.53	0.68	0.32	0.74	0.26	0.77	0.23	0.77	0.23	0.63	0.15	0.02	0.05	0.15	0.84	0.08	0.06	0.01	0.01	0.93	0.05	0.02	4.46E-3	0	0.97	0.03	6.63E-3	0	0	1	0	0	0	0	0.79	0.05	0.08	0.06	0.01	1	2.71E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.98	0.02	1.61E-3	0	0	1	0	0	0	0	0.99	0.01	6.41E-4	0	0	0.97	0.03	1.74E-3	0	0	0.99	6.47E-3	1.03E-3	0	0	0.77	0.01	0.06	0.08	0.07	0.63	0.37	0.84	0.16	0.93	0.07	0.97	0.03	1	0	0.79	0.21	1	2.71E-3	1	0	1	0	0.98	0.02	1	0	0.99	0.01	0.97	0.03	0.99	7.51E-3	0.77	0.23
5	5	BEESCAUT_RW	0.01	0.01	0.01	8.68E-3	0.1	0.18	0.2	0.51	8.68E-3	0.99	0.03	0.97	0.04	0.96	0.16	0.2	0.17	0.14	0.34	0.33	0.29	0.2	0.11	0.07	0.5	0.1	0.13	0.1	0.18	0.16	0.84	0.22	0.78	0.33	0.67	0.39	0.61	0.5	0.5	0.5	0.5	0.45	0.12	0.05	0.08	0.29	0.68	0.11	0.11	0.04	0.06	0.8	0.09	0.06	0.05	0	0.88	0.06	0.06	0	0	1	0	0	0	0	0.63	0.08	0.11	0.11	0.07	0.95	0.05	0	0	0	1	0	0	0	0	1	0	0	0	0	0.87	0.09	0.04	0	0	1	0	0	0	0	0.9	0.08	0.02	0	0	0.84	0.11	0.05	0	0	0.89	0.08	0.03	0	0	0.56	0.05	0.11	0.1	0.18	0.45	0.55	0.68	0.32	0.8	0.2	0.88	0.12	1	0	0.63	0.37	0.95	0.05	1	0	1	0	0.87	0.13	1	0	0.9	0.1	0.84	0.16	0.89	0.11	0.56	0.44
6	6	BEESCAUT_RW	0.01	0.01	0.01	0.04	0.23	0.2	0.17	0.36	0.04	0.96	0.1	0.9	0.14	0.86	0.29	0.25	0.14	0.09	0.23	0.51	0.25	0.12	0.08	0.04	0.66	0.06	0.08	0.07	0.12	0.29	0.71	0.36	0.64	0.51	0.49	0.58	0.42	0.66	0.34	0.66	0.34	0.58	0.13	0.03	0.06	0.2	0.78	0.08	0.08	0.02	0.03	0.87	0.07	0.04	0.02	0	0.93	0.04	0.03	0	0	1	0	0	0	0	0.74	0.06	0.08	0.08	0.04	0.98	0.02	0	0	0	1	0	0	0	0	1	0	0	0	0	0.92	0.06	0.02	0	0	1	0	0	0	0	0.95	0.05	6.85E-3	0	0	0.9	0.08	0.02	0	0	0.95	0.04	9.16E-3	0	0	0.7	0.03	0.08	0.07	0.12	0.58	0.42	0.78	0.22	0.87	0.13	0.93	0.07	1	0	0.74	0.26	0.98	0.02	1	0	1	0	0.92	0.08	1	0	0.95	0.05	0.9	0.1	0.95	0.05	0.7	0.3
7	7	BEESCAUT_RW	0.01	0.01	0.01	0.08	0.3	0.18	0.17	0.27	0.08	0.92	0.18	0.82	0.24	0.76	0.39	0.25	0.12	0.07	0.17	0.6	0.2	0.1	0.08	0.02	0.76	0.02	0.04	0.08	0.09	0.39	0.61	0.47	0.53	0.6	0.4	0.66	0.34	0.76	0.24	0.76	0.24	0.67	0.11	0.02	0.05	0.16	0.82	0.08	0.07	0.01	0.01	0.9	0.06	0.03	9.53E-3	0	0.95	0.03	0.01	0	0	1	0	0	0	0	0.79	0.04	0.08	0.08	0.02	0.99	0.01	0	0	0	1	0	0	0	0	1	0	0	0	0	0.95	0.04	7.6E-3	0	0	1	0	0	0	0	0.96	0.03	3.47E-3	0	0	0.93	0.06	9.95E-3	0	0	0.98	0.02	3.96E-3	0	0	0.78	4.52E-3	0.04	0.08	0.09	0.67	0.33	0.82	0.18	0.9	0.1	0.95	0.05	1	0	0.79	0.21	0.99	0.01	1	0	1	0	0.95	0.05	1	0	0.96	0.04	0.93	0.07	0.98	0.02	0.78	0.22
8	8	BEESCAUT_RW	0.01	0.01	0.01	7.97E-3	0.08	0.17	0.2	0.54	7.97E-3	0.99	0.02	0.98	0.03	0.97	0.17	0.17	0.16	0.14	0.35	0.25	0.31	0.24	0.12	0.08	0.47	0.1	0.13	0.1	0.2	0.17	0.83	0.22	0.78	0.25	0.75	0.31	0.69	0.47	0.53	0.47	0.53	0.48	0.08	0.05	0.08	0.31	0.68	0.11	0.11	0.04	0.06	0.77	0.1	0.07	0.06	0	0.87	0.07	0.07	0	0	1	0	0	0	0	0.62	0.07	0.11	0.11	0.08	0.93	0.07	0	0	0	1	0	0	0	0	1	0	0	0	0	0.83	0.12	0.06	0	0	1	0	0	0	0	0.85	0.12	0.04	0	0	0.77	0.15	0.08	0	0	0.84	0.12	0.04	0	0	0.56	0.04	0.1	0.1	0.2	0.48	0.52	0.68	0.32	0.77	0.23	0.87	0.13	1	0	0.62	0.38	0.93	0.07	1	0	1	0	0.83	0.17	1	0	0.85	0.15	0.77	0.23	0.84	0.16	0.56	0.44
9	9	BEESCAUT_RW	0.01	0.01	0.01	0.05	0.2	0.19	0.18	0.38	0.05	0.95	0.1	0.9	0.13	0.87	0.33	0.19	0.14	0.09	0.24	0.47	0.26	0.14	0.09	0.04	0.65	0.05	0.08	0.09	0.13	0.33	0.67	0.39	0.61	0.47	0.53	0.53	0.47	0.65	0.35	0.65	0.35	0.65	0.05	0.03	0.06	0.22	0.76	0.09	0.09	0.03	0.03	0.85	0.08	0.05	0.02	0	0.92	0.05	0.03	0	0	1	0	0	0	0	0.73	0.06	0.09	0.09	0.04	0.98	0.02	0	0	0	1	0	0	0	0	1	0	0	0	0	0.91	0.07	0.02	0	0	1	0	0	0	0	0.93	0.06	0.01	0	0	0.88	0.09	0.03	0	0	0.94	0.05	0.01	0	0	0.69	0.02	0.07	0.09	0.13	0.65	0.35	0.76	0.24	0.85	0.15	0.92	0.08	1	0	0.73	0.27	0.98	0.02	1	0	1	0	0.91	0.09	1	0	0.93	0.07	0.88	0.12	0.94	0.06	0.69	0.31
10	10	BEESCAUT_RW	0.01	0.01	0.01	0.09	0.27	0.17	0.17	0.29	0.09	0.91	0.19	0.81	0.24	0.76	0.42	0.21	0.13	0.06	0.18	0.58	0.19	0.11	0.09	0.02	0.77	0.01	0.02	0.09	0.11	0.42	0.58	0.48	0.52	0.58	0.42	0.64	0.36	0.77	0.23	0.77	0.23	0.72	0.05	0.01	0.04	0.18	0.8	0.08	0.1	0.01	8.88E-3	0.89	0.07	0.03	7.43E-3	0	0.95	0.04	0.01	0	0	1	0	0	0	0	0.78	0.03	0.08	0.09	0.02	0.99	0.01	0	0	0	1	0	0	0	0	1	0	0	0	0	0.94	0.05	5.25E-3	0	0	1	0	0	0	0	0.95	0.04	2.81E-3	0	0	0.92	0.04	0.03	0	0	0.98	0.01	3.28E-3	0	0	0.78	1.61E-3	0.02	0.09	0.11	0.72	0.28	0.8	0.2	0.89	0.11	0.95	0.05	1	0	0.78	0.22	0.99	0.01	1	0	1	0	0.94	0.06	1	0	0.95	0.05	0.92	0.08	0.98	0.02	0.78	0.22
